feature,correlation,abs_correlation
"1,000 Yard Seasons",0.9574271077563378,0.9574271077563378
thousand_yard_seasons,0.7990943980877563,0.7990943980877563
wAV,0.7960938450108233,0.7960938450108233
Yds.2,0.7954155286118645,0.7954155286118645
rec,0.7800602672391712,0.7800602672391712
TD.2,0.7631866695158539,0.7631866695158539
DrAV,0.7410876384138531,0.7410876384138531
St,0.7352952263392959,0.7352952263392959
G,0.5728250153691453,0.5728250153691453
PB,0.48891317435805065,0.48891317435805065
avoided_tackles,0.35165890156820356,0.35165890156820356
grades_offense,0.2878725154957233,0.2878725154957233
draft_round,-0.28307499560987076,0.28307499560987076
To,0.2783267630940463,0.2783267630940463
Unnamed: 0,-0.2767377735940567,0.2767377735940567
